Transaction_ID,User_ID,Recharge_Type,Amount,Date,Payment_Status,Reason
RCG_0C338474B366,PP0021371,Electricity Bill,926.59,2024-06-09,Successful,Successful
RCG_6B3B86B07A76,PP0002388,DTH,1211.64,2024-08-04,Successful,Successful
RCG_767822392A0E,PP1101831,Cable TV,746.27,2024-02-19,Successful,Successful
RCG_527E6AC74B11,PP0033099,Mobile Recharge,1319.89,2024-12-22,Successful,Successful
RCG_6B50A8C694E1,PP1059869,Cable TV,112.44,2024-09-07,Successful,Successful
RCG_E63DCBDBB8C9,PP1093720,Electricity Bill,1278.95,2024-07-25,Successful,Successful
RCG_DD16B3117FB9,PP1067328,Electricity Bill,1206.69,2024-08-06,Successful,Successful
RCG_654D31ECCDC2,PP0041770,Electricity Bill,1945.11,2024-04-23,Successful,Successful
RCG_6C53A7808151,PP0017979,Electricity Bill,1684.57,2024-06-25,Successful,Successful
RCG_92AE572161FA,PP1085390,DTH,1954.71,2024-11-20,Successful,Successful
RCG_F318A83120F2,PP1086434,Mobile Recharge,198.23,2024-08-19,Successful,Successful
RCG_2841A00FD86A,PP0006016,Cable TV,1815.32,2024-04-26,Successful,Successful
RCG_43541CA10FD1,PP1089257,Cable TV,379.19,2024-10-17,Failed,Insufficient amount
RCG_E2611C60AB17,PP0046798,Mobile Recharge,1975.16,2024-04-24,Successful,Successful
RCG_FD9B254440AF,PP0006864,DTH,1541.82,2024-12-18,Successful,Successful
RCG_7F994AAA8517,PP1074431,DTH,542.9,2024-04-19,Successful,Successful
RCG_CED50D53511D,PP1084946,Cable TV,1003.89,2024-08-24,Successful,Successful
RCG_834ECCB39D81,PP1050343,Mobile Recharge,1805.79,2024-08-25,Successful,Successful
RCG_3727F03EF2B8,PP0006342,DTH,300.71,2024-03-24,Successful,Successful
RCG_576C893FD092,PP1061529,Electricity Bill,1201.85,2024-02-08,Successful,Successful
RCG_C960C7358F3A,PP1058940,Cable TV,1101.28,2024-09-11,Successful,Successful
RCG_E7C3CD65734C,PP0029000,Cable TV,1373.12,2024-09-14,Successful,Successful
RCG_1EED4FC6F884,PP1085625,Electricity Bill,967.14,2024-11-23,Successful,Successful
RCG_8C15912F58E7,PP1093095,Cable TV,825.94,2024-10-07,Successful,Successful
RCG_99E9393B4215,PP0049549,DTH,663.4,2024-05-01,Successful,Successful
