Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Gorillaz,Feel Good Inc.,Demon Days,album,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,3.710666667,Gorillaz - Feel Good Inc. (Official Video),Gorillaz,693555221,6220896,169907,TRUE,TRUE,1040234854,1.150081566,Spotify
Gorillaz,Rhinestone Eyes,Plastic Beach,album,0.676,0.703,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,3.336216667,Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video),Gorillaz,72011645,1079128,31003,TRUE,TRUE,310083733,15.18358531,Spotify
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),single,0.695,0.923,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,3.585833333,Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser),Gorillaz,8435055,282142,7399,TRUE,TRUE,63063467,7.956896552,Spotify
Gorillaz,On Melancholy Hill,Plastic Beach,album,0.689,0.739,-5.81,0.026,1.51E-05,0.509,0.064,0.578,120.423,3.897783333,Gorillaz - On Melancholy Hill (Official Video),Gorillaz,211754952,1788577,55229,TRUE,TRUE,434663559,11.546875,Spotify
Gorillaz,Clint Eastwood,Gorillaz,album,0.663,0.694,-8.627,0.171,0.0253,0,0.0698,0.525,167.953,5.682,Gorillaz - Clint Eastwood (Official Video),Gorillaz,618480958,6197318,155930,TRUE,TRUE,617259738,9.94269341,Youtube
Gorillaz,DARE,Demon Days,album,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,4.083333333,Gorillaz - DARE (Official Video),Gorillaz,259021161,1844658,72008,TRUE,TRUE,323850327,2.989932886,Spotify
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,0.716,0.897,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,4.569033333,"Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video)",Dom Dolla,451996,11686,241,FALSE,TRUE,10666154,2.76,Spotify
Gorillaz,She's My Collar (feat. Kali Uchis),Humanz (Deluxe),album,0.726,0.815,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,3.492666667,Gorillaz - She's My Collar [HQ],SalvaMuñox,1010982,17675,260,FALSE,FALSE,159605929,7.276785714,Spotify
Gorillaz,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),single,0.741,0.913,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,3.5625,Gorillaz - Cracker Island ft. Thundercat (Official Video),Gorillaz,24459820,739527,20296,TRUE,TRUE,42671901,2.809230769,Spotify
Gorillaz,Dirty Harry,Demon Days,album,0.625,0.877,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,3.840433333,Gorillaz - Dirty Harry (Official Video),Gorillaz,154761056,1386920,39240,TRUE,TRUE,191074713,1.305059524,Spotify
Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),album,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,5.49555,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],Red Hot Chili Peppers,1018811259,4394471,121452,TRUE,TRUE,1055738398,6.039370079,Spotify
Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),album,0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,4.405116667,Red Hot Chili Peppers - Under The Bridge [Official Music Video],Red Hot Chili Peppers,246687714,1213572,32761,TRUE,TRUE,1061750522,2.446808511,Spotify
Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),album,0.618,0.938,-3.442,0.0456,0.0179,0,0.167,0.875,91.455,4.483333333,Red Hot Chili Peppers - Can't Stop [Official Music Video],Red Hot Chili Peppers,336635759,1740224,32573,TRUE,TRUE,866464951,5.616766467,Spotify
Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),album,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,3.59845,Red Hot Chili Peppers - Scar Tissue [Official Music Video],Red Hot Chili Peppers,435121530,1890900,37069,TRUE,TRUE,613838674,6.638888889,Spotify
Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),album,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4.256216667,Red Hot Chili Peppers - Otherside [Official Music Video],Red Hot Chili Peppers,673528656,3140356,60091,TRUE,TRUE,732774515,10.51587302,Spotify
Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,album,0.427,0.9,-3.674,0.0499,0.116,1.75E-05,0.119,0.599,104.655,5.577783333,Red Hot Chili Peppers - Snow (Hey Oh) (Official Music Video),Red Hot Chili Peppers,320871237,1272266,37004,TRUE,TRUE,860722316,7.56302521,Spotify
Red Hot Chili Peppers,Dani California,Stadium Arcadium,album,0.556,0.913,-2.36,0.0437,0.0193,8.59E-06,0.346,0.73,96.184,4.702666667,Red Hot Chili Peppers - Dani California [Official Music Video],Red Hot Chili Peppers,324228662,1456622,49461,TRUE,TRUE,550067391,2.638728324,Spotify
Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),album,0.451,0.97,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,3.61555,Red Hot Chili Peppers - By The Way [Official Music Video],Red Hot Chili Peppers,179005296,784717,20084,TRUE,TRUE,367485508,9.509803922,Spotify
Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),album,0.666,0.936,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,4.715116667,Red Hot Chili Peppers - Give It Away [Official Music Video],Red Hot Chili Peppers,86637926,434837,16029,TRUE,TRUE,301947159,6.117647059,Spotify
Red Hot Chili Peppers,Dark Necessities,The Getaway,album,0.7,0.742,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,5.033333333,Red Hot Chili Peppers - Dark Necessities [Official Music Video],Red Hot Chili Peppers,440037964,2094182,56516,TRUE,TRUE,385677873,6.745454545,Youtube
50 Cent,In Da Club,Get Rich Or Die Tryin',album,0.902,0.72,-2.776,0.347,0.26,0,0.0749,0.805,90.059,3.22445,50 Cent - In Da Club (Official Music Video),50CentVEVO,1682616458,10481678,296745,TRUE,TRUE,1041736808,9.612817089,Youtube
50 Cent,Candy Shop,The Massacre,album,0.614,0.574,-7.961,0.466,0.0253,3.20E-05,0.38,0.755,125.173,3.485116667,50 Cent - Candy Shop (Official Music Video) ft. Olivia,50CentVEVO,838974650,5014527,113251,TRUE,TRUE,701248893,1.510526316,Youtube
