transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
1970,5/22/2023,17:44:00,5,Male,59,Electronics,4,500,230,2000
1946,7/27/2023,20:48:00,5,Male,62,Electronics,4,500,165,2000
1927,9/6/2023,19:44:00,46,Male,43,Electronics,4,500,180,2000
1875,6/3/2022,22:42:00,141,Female,51,Electronics,4,500,165,2000
1832,11/10/2023,21:17:00,57,Male,47,Beauty,4,500,480,2000
1808,2/12/2023,10:48:00,109,Male,33,Beauty,4,500,210,2000
1789,11/10/2023,17:02:00,144,Female,61,Clothing,4,500,615,2000
1773,12/12/2023,18:50:00,80,Male,25,Electronics,4,500,165,2000
1743,10/26/2022,9:37:00,47,Female,34,Beauty,4,500,250,2000
1742,11/22/2022,8:25:00,18,Female,38,Electronics,4,500,220,2000
1735,9/5/2023,17:26:00,86,Female,64,Clothing,4,500,505,2000
1731,12/19/2023,17:41:00,3,Male,54,Clothing,4,500,195,2000
1700,9/27/2023,16:10:00,87,Male,36,Electronics,4,500,210,2000
1664,12/12/2023,16:44:00,99,Female,44,Clothing,4,500,245,2000
1634,11/3/2023,17:18:00,90,Male,60,Electronics,4,500,520,2000
1626,10/10/2022,19:13:00,19,Female,26,Clothing,4,500,495,2000
1595,10/4/2023,17:44:00,115,Female,18,Clothing,4,500,255,2000
1592,3/16/2022,9:08:00,81,Female,46,Beauty,4,500,155,2000
1577,9/11/2022,6:22:00,145,Male,21,Beauty,4,500,160,2000
1572,6/18/2023,22:20:00,1,Male,31,Clothing,4,500,175,2000
1561,9/17/2023,19:38:00,16,Female,64,Clothing,4,500,170,2000
1547,8/11/2022,6:39:00,142,Male,63,Clothing,4,500,235,2000
1503,10/17/2022,18:28:00,67,Male,45,Beauty,4,500,605,2000
1487,2/1/2023,19:01:00,131,Male,44,Clothing,4,500,140,2000
1480,11/26/2023,18:05:00,3,Female,42,Beauty,4,500,165,2000
1476,11/11/2022,22:27:00,130,Female,27,Clothing,4,500,555,2000
1447,5/30/2022,22:21:00,137,Male,22,Beauty,4,500,155,2000
1420,4/15/2022,7:01:00,138,Female,22,Clothing,4,500,205,2000
1416,12/29/2022,10:47:00,111,Male,53,Electronics,4,500,125,2000
1412,10/13/2022,19:59:00,75,Female,19,Electronics,4,500,615,2000
1342,9/18/2022,23:00:00,114,Female,43,Clothing,4,500,485,2000
1281,3/14/2023,19:34:00,4,Female,29,Beauty,4,500,165,2000
1269,1/1/2022,8:09:00,71,Male,25,Clothing,4,500,145,2000
1257,5/10/2022,11:55:00,29,Male,19,Beauty,4,500,255,2000
1253,12/3/2023,19:58:00,108,Female,53,Clothing,4,500,605,2000
1166,7/19/2023,7:45:00,65,Male,34,Clothing,4,500,245,2000
1157,12/23/2022,21:24:00,81,Male,62,Electronics,4,500,270,2000
1155,12/3/2023,18:22:00,3,Male,31,Electronics,4,500,255,2000
1152,12/26/2022,7:48:00,87,Male,43,Electronics,4,500,170,2000
